,Text,User,Date,Favs,Retweets,Replies
0,En el 2022 deseamos a todas y todos salud y felicidad. Mantengamos inquebrantable la fe en el porvenir. https://t.co/UKK5WKCIqU,lopezobrador_,2021-12-31 18:02:48+00:00,25689,7537,4977
1,Utilizamos el presupuesto para apoyar a todas y todos; damos preferencia a los que nunca recibían nada. Conferencia matutina https://t.co/JVln17OuI7,lopezobrador_,2021-12-30 13:02:13+00:00,6979,2213,1263
2,"La corrupción se debe combatir por razones morales. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/sBTN5MMv6w",lopezobrador_,2021-12-29 13:17:55+00:00,6822,2131,1832
3,"Lo mercantil no puede estar por encima de la salud del pueblo. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/xauB3gmIGn",lopezobrador_,2021-12-28 13:14:15+00:00,6424,2075,1088
4,"Desayuné con Carlos Slim que, además de amigo y buen empresario, contribuye al desarrollo del país. Por ejemplo, América Móvil vendió una filial en Estados Unidos y pagaron en México, el 16 de diciembre, 28 mil millones de pesos a la Hacienda pública. https://t.co/CnnvljlA05",lopezobrador_,2021-12-27 17:24:37+00:00,23228,5236,4058
5,"El noble oficio de la política exige autenticidad y definiciones. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/XLF6qRU8IE",lopezobrador_,2021-12-27 13:05:22+00:00,6582,2083,1028
6,"Hoy murió a los 90 años en Sudáfrica Desmond Tutu, compañero de lucha de Nelson Mandela contra el racismo. Una de sus frases es lapidaria pero contundente y cierta: «Si eres neutral en situaciones de injusticia, has elegido el lado del opresor». https://t.co/xSy8n6aJmF",lopezobrador_,2021-12-26 14:59:47+00:00,26646,7743,2635
7,P.D. La pintura es de Orozco y tiene su historia. Indaga.,lopezobrador_,2021-12-25 00:42:20+00:00,8109,1382,760
8,"Hoy a media noche, hace más de dos mil años, nació Jesús Cristo, y muchos, aún librepensadores y de otras religiones, lo reconocen por su amor a los pobres y olvidados. 

Gandhi decía: “No sé de nadie que haya hecho más por la humanidad que Jesús”

Sigamos su ejemplo. Felicidades https://t.co/c7oauP2XuQ",lopezobrador_,2021-12-25 00:17:33+00:00,23540,5829,3876
9,"Ya sentamos las bases para la transformación del país. Conferencia de prensa matutina, desde Palacio Nacional https://t.co/L9uqwSCvJq",lopezobrador_,2021-12-23 13:04:52+00:00,6851,2095,1523
