,Text,User,Date,Favs,Retweets,Replies
0,"This new sinister combination of voter suppression and election subversion—it's un-American and it's undemocratic.

We must pass the Freedom to Vote Act and the John Lewis Voting Rights Advancement Act.",JoeBiden,2021-12-30 18:16:01+00:00,48115,9682,4561
1,"As we continue our holiday celebrations and head into the new year, remember that the best way to protect your health and keep your loved ones safe from COVID-19 and the Omicron variant is to get vaccinated and get your booster shot.",JoeBiden,2021-12-28 23:27:00+00:00,20722,2747,2529
2,"The most valuable tool we have to lower the costs of prescription drugs, child care, and health care for families is my Build Back Better Act. 

It’s fully paid for, will not increase the deficit, and won’t raise the taxes by one penny for anyone making less than $400,000 a year.",JoeBiden,2021-12-28 20:14:01+00:00,16978,2856,2061
3,"When it comes to voter suppression, it’s no longer just about making it easy for eligible people to vote—it's about whether or not those votes will count at all.

It's simple: voter suppression is un-American, un-democratic, and unpatriotic.",JoeBiden,2021-12-27 20:34:00+00:00,39596,7081,4279
4,"Sending warm wishes to all who are celebrating Kwanzaa this week. We hope these days of reflection on the seven principles bring light, happiness, and peace in the coming year.",JoeBiden,2021-12-26 16:40:00+00:00,27070,2636,1329
5,"On behalf of the entire Biden family, Jill and I want to wish you a very Merry Christmas. https://t.co/2dIRa6XIEV",JoeBiden,2021-12-25 15:26:03+00:00,57424,4350,3410
6,"Gas prices are down ten cents nationally, and some states across the country are seeing gas prices at pre-pandemic averages. This will help so many Americans who are traveling this week.",JoeBiden,2021-12-24 01:22:00+00:00,57948,6801,14231
7,"Packages are moving, gifts are being delivered, and shelves are stocked. Today, retail inventories are up more than 3% from last year. 

We’re making progress.",JoeBiden,2021-12-23 23:36:00+00:00,37902,5086,2735
8,"My Bipartisan Infrastructure Law includes the largest investment of public transit ever and will replace diesel buses with electric ones. This will get more people where they are going safer, faster, and cleaner for the environment. It’s a win, win, win.",JoeBiden,2021-12-23 18:20:01+00:00,12716,2109,1152
9,"Two years earlier than experts predicted, the economy has added nearly 6 million jobs and the unemployment rate is down to 4.2%. Let’s keep this historic progress moving by passing Build Back Better.",JoeBiden,2021-12-23 00:46:00+00:00,22570,3770,2099
10,"If you're over the age of 18 and six months have gone by since you got vaccinated, go get your booster. Go get it now.",JoeBiden,2021-12-22 23:01:00+00:00,65988,7631,4421
11,"We are not going back to March 2020. 

More than 200 million Americans have been fully vaccinated and today, we’re prepared for what’s coming. We must stay focused.",JoeBiden,2021-12-22 19:07:01+00:00,19927,2501,1647
12,"If you haven’t yet, please get vaccinated. It’s the best way to keep yourself and your loved ones safe from the Omicron variant. Now is the time. https://t.co/nLva52NSGI",JoeBiden,2021-12-22 14:50:12+00:00,9421,1527,1506
13,Booster shots provide the strongest protection against the Omicron variant. That’s why I got my booster—and encourage everyone who’s eligible to do so as well. https://t.co/7sEoXNjr9D,JoeBiden,2021-12-22 01:56:00+00:00,8610,1244,1374
14,"To the Americans who are wondering whether you can safely celebrate the holidays this weekend: the answer is yes, you can. 

If you and your families are vaccinated and follow the precautions, you should feel comfortable celebrating the Christmas holiday as you have planned.",JoeBiden,2021-12-22 00:47:00+00:00,22266,2605,3187
15,"There aren't a lot of things that almost every American can agree on. But I think it's safe to say that all of us can agree that prescription drugs are outrageously expensive in our country. 

Under my Build Back Better bill, which has passed the House, they won’t be.",JoeBiden,2021-12-17 22:14:00+00:00,22473,3191,3515
16,"Six months out from your second Pfizer or Moderna vaccine shot or two months out from your Johnson &amp; Johnson shot? 

Get your booster.",JoeBiden,2021-12-17 14:25:03+00:00,28024,3400,3509
17,"The shock of losing a home or business, the grief of losing a loved one during the holidays, is traumatizing. 

We are going to ensure that folks in Kentucky and all those affected by the tornadoes have all the mental health resources they need to get through this difficult time.",JoeBiden,2021-12-17 00:05:01+00:00,12017,1721,1070
18,"The Build Back Better Act will lower the core costs that have held Americans back for decades: on everything from health care and child care to prescription drugs and housing. 

No Republican in Congress supports it.",JoeBiden,2021-12-16 21:45:02+00:00,14664,2924,2291
19,"To the people of Kentucky who have been devastatingly impacted by these tornadoes, know this—I intend to do whatever it takes, for as long as it takes, to help support your state and your local leaders recover and rebuild.
https://t.co/YKcUPa74vt",JoeBiden,2021-12-16 20:40:02+00:00,7657,1164,704
20,"The American people deserve more than just a little breathing room—they deserve a real fighting chance to get ahead. The Build Back Better Act will prioritize families like yours and rebuild the backbone of America.
https://t.co/YXwRRtrmJ2",JoeBiden,2021-12-16 17:14:02+00:00,5700,1082,1157
21,"If you are vaccinated but still worried about the new variant, get your booster. 
If you aren't vaccinated, go get that first shot. 
We’ll fight the Omicron variant, together.",JoeBiden,2021-12-16 01:29:00+00:00,36346,4060,3308
22,"Life-saving, prescription medication shouldn’t break the bank.
https://t.co/DGDEm6QC1l",JoeBiden,2021-12-14 18:10:02+00:00,6660,1161,852
23,"As we move into the winter and face the challenges of a new variant, this is a moment for us to put the divisiveness behind us. This is a moment for the nation to unite in a common purpose: To fight this virus, protect one another, and to protect our economic recovery.",JoeBiden,2021-12-14 16:47:01+00:00,22803,2999,3123
24,"Everybody talks about the price tag for the Build Back Better Act. 

But here’s the truth: If you make less than $400,000 a year, your taxes will not go up one single penny under our plan.",JoeBiden,2021-12-14 00:23:00+00:00,31807,4965,4997
25,"Health care should be a right in this country, not a partisan issue. Diabetes, cancer, and other diseases don’t care whether you're a Democrat or a Republican. 

This is about being able to afford the prescription drugs you need. Congress must come together and finish the job.",JoeBiden,2021-12-13 21:30:03+00:00,14584,2350,1341
26,"The pandemic has put a strain on our global supply chains and caused prices to rise around the world. 

The Build Back Better Act will help ease inflationary pressures, lower costs for the American people and extend tax cuts for working families.",JoeBiden,2021-12-13 17:02:01+00:00,12562,2108,1866
27,"Our 5-step plan to fight COVID-19 this winter: 
1. Expanding the nationwide booster campaign 
2. Launching new family vaccination clinics 
3. Making at-home tests available 
4. Increasing surge response teams 
5. Accelerating our efforts to vaccinate the rest of the world",JoeBiden,2021-12-13 00:10:00+00:00,21595,3623,3738
28,"Parents should never have to worry about whether their drinking water is safe for their children. 

The Bipartisan Infrastructure Law will start to replace 100% of our nation’s lead pipes and service lines so that every child across the country has access to clean and safe water.",JoeBiden,2021-12-12 15:07:02+00:00,21502,3234,1511
29,America is entering this winter from a position of strength compared to where we were last winter. https://t.co/OE4gj0ZoCA,JoeBiden,2021-12-11 00:26:13+00:00,8585,1281,1976
30,"We are going to reinvest in our country and our people to continue building a better America with union jobs.
https://t.co/qbfXOe7GeN",JoeBiden,2021-12-10 19:55:01+00:00,6640,1067,1208
31,"Long gone are the days when we hear about infrastructure week with no follow through. From now on, we’re in the infrastructure decade.",JoeBiden,2021-12-10 01:00:03+00:00,25505,3649,1879
32,"17 Nobel Prize winners in economics say the Build Back Better Act will help ease long-term inflationary pressures and make our economy stronger. 

Not a single Republican in Congress supports it.",JoeBiden,2021-12-09 21:28:00+00:00,27836,5987,3622
33,"Americans that require insulin should not have to suffer and sacrifice just to get a drug that costs a few dollars to make. 

The Build Back Better Act will cap insulin at $35 a month.
https://t.co/Ox0att5OYa",JoeBiden,2021-12-09 00:06:03+00:00,9401,1570,1298
34,"Last year, more than half of the schools in America were closed. This year, 99% of schools are back open, and 20 million children ages 5 and older have already received their vaccine. Let’s keep it going.",JoeBiden,2021-12-08 22:37:00+00:00,24621,3406,1705
35,"The Bipartisan Infrastructure Law builds back our bridges, water systems, power lines, electric grid better and stronger, making them more resilient to the effects of climate change. No American should have to deal with flooding or losing power for days and weeks after a storm.",JoeBiden,2021-12-08 17:06:03+00:00,11215,1885,1231
36,"Since I was sworn in on January 20, our economy has created nearly 6 million new jobs—a record for a new president.
https://t.co/Q0C99vrJYI",JoeBiden,2021-12-07 21:35:01+00:00,27477,5524,7583
