,Text,User,Date,Favs,Retweets,Replies
0,"2021 yılında, özetinin özetini gün boyu paylaştığımız, milletimize kesintisiz hizmet sunacak sayısız eser ve icraate imza attık.

Rabbim nefes, milletimiz destek verdikçe, ülkemize hizmet etmeyi 2022 yılında da sürdüreceğiz. Yeni yılın sağlık, huzur ve refah getirmesi duasıyla… https://t.co/rEHVW5zx56",RTErdogan,2021-12-31 21:02:30+00:00,48884,20024,3540
1,"Sadece “Geleceğe Nefes” kampanyası ile her vatandaşımız adına üçer adet olmak üzere 252 milyon, toplamda 603 milyon fidanı toprakla buluşturduk. https://t.co/PC8zkzGdNt",RTErdogan,2021-12-31 20:50:00+00:00,31763,11166,694
2,Bölgenin kalkınmasına büyük katkı sunacağına inandığımız Kars Lojistik Merkezi faaliyetlerine başladı. https://t.co/9p9UK8ft0A,RTErdogan,2021-12-31 20:45:00+00:00,30308,10554,424
3,Son 20 yılda çağ atladığımız demir yolu ulaşımından istifade eden yolcu sayısını 134 milyon 743 bine yükselttik. https://t.co/39uPoRFr5V,RTErdogan,2021-12-31 20:40:00+00:00,34346,11442,503
4,Karadeniz’in yeni lojistik üssü Filyos Limanı’nı tamamlayarak 150 yıllık hayali gerçekleştirdik. https://t.co/9bNRnpfh2O,RTErdogan,2021-12-31 20:35:00+00:00,32667,11039,435
5,Uçuş ağımızı salgının olumsuz etkilerine rağmen 128 ülkede 335 noktaya yükselttik. https://t.co/RkkPNfBERY,RTErdogan,2021-12-31 20:30:00+00:00,32765,11090,460
6,Bölünmüş yol ağımızı yeni ilavelerle 28 bin 473 kilometreye ulaştırdık. https://t.co/c2EtU9lIsh,RTErdogan,2021-12-31 20:25:00+00:00,33374,11065,551
7,"Dağları deldik… Ulaşım ağımız üzerindeki 23 tüneli tamamlayıp hizmete açarak yollarımızı kısalttık, yakıttan ve zamandan büyük tasarruf sağladık… https://t.co/E9vzXbT88N",RTErdogan,2021-12-31 20:20:00+00:00,36249,11965,601
8,"Aralarında Hasankeyf-2, Zarova, Kömürhan, Devegeçidi ve Tohma gibi eserlerin de olduğu toplam 146 köprü inşa ettik, dağları, tepeleri aştık, gönülleri birleştirdik. https://t.co/1QlYuB8yEK",RTErdogan,2021-12-31 20:15:00+00:00,33836,11628,466
9,"100 radyonun aynı anda yayın yapabildiği Çamlıca TV ve Radyo Kulesi’ni tamamladık, İstanbul’un silüetini bozan görüntü kirliliğini ortadan kaldırdık. https://t.co/WqjF5SfvPJ",RTErdogan,2021-12-31 20:10:00+00:00,32935,11288,404
10,TÜRKSAT 5A ve TÜRKSAT 5B uydularımızı Space X’in Falcon 9 roketi ile uzaya fırlattık. https://t.co/OXX3UTGnWy,RTErdogan,2021-12-31 20:05:00+00:00,33620,11509,479
11,2008 yılında hayata geçirdiğimiz e-Devlet Kapısı uygulamasıyla vatandaşlarımızın işlerini büyük ölçüde kolaylaştırdık. 2021’de e-Devlet Kapısı’na 3 milyarın üzerinde giriş yapıldı. https://t.co/x3Kf6oIo3l,RTErdogan,2021-12-31 20:00:00+00:00,29551,10479,343
12,"Biyoçeşitliliğin korunması ve geleceğe aktarılması için korunan alan sayımızı 631’e, korunan alan büyüklüğümüzü ise 3,3 milyon hektara çıkardık. https://t.co/UIFXkaI4Ae",RTErdogan,2021-12-31 19:55:00+00:00,27860,10211,322
13,"Cumhuriyet tarihimizin ilk Su Şûrası'nı gerçekleştirerek kısa, orta ve uzun vadeli su stratejilerimizi belirledik. https://t.co/t7RnpOmIQb",RTErdogan,2021-12-31 19:50:00+00:00,28916,10357,348
14,Su kaynaklarımızın kalite ve miktarını korumak için inşa ettiğimiz 32 yer altı barajını tamamladık. https://t.co/0BKSkWUNRS,RTErdogan,2021-12-31 19:45:00+00:00,31651,11236,367
15,Ülkemizin en yüksek barajı Yusufeli'nin gövde dolgusunu tamamladık. Barajımız su tutmaya başladı. https://t.co/4qEtiVy1Yf,RTErdogan,2021-12-31 19:40:00+00:00,32961,11353,472
16,Ekonomimize yıllık 3 milyar TL katkı sağlayacak Ilısu Prof. Dr. Veysel Eroğlu Barajı ve Hidroelektrik Santrali’ni resmen hizmete aldık. https://t.co/d5JEut5nSx,RTErdogan,2021-12-31 19:35:00+00:00,30100,10987,358
17,Hayata geçirdiğimiz Ankara İçme Suyu 2. Merhale Projesi Gerede Sistemi ile Başkentimizin 2050 yılına kadarki içme suyu ihtiyacını garanti altına aldık. https://t.co/OQ9q5rLY8n,RTErdogan,2021-12-31 19:30:00+00:00,30617,11019,389
18,"8 yeni tarıma dayalı ihtisas organize sanayi bölgesi kurduk. Böylece, tüzel kişilik kazandırdığımız bu sanayi bölgelerimizin sayısını 23'ten 31'e çıkardık. https://t.co/XgElrlkdRd",RTErdogan,2021-12-31 19:25:00+00:00,28878,10650,315
19,Koruma altına aldığımız büyük ova sayısını 315’den 429’a çıkardık. https://t.co/3UsA1rEZyT,RTErdogan,2021-12-31 19:20:00+00:00,28867,10530,310
20,"IPARD kapsamında 4.850 projeye 2,3 Milyar TL destek verdik. Böylelikle 3,3 milyar TL yatırım ve 8.750 istihdam sağladık. https://t.co/U4zodsHf4v",RTErdogan,2021-12-31 19:15:00+00:00,28383,10437,342
21,Çiftçilerimizin ihtiyacı olan 74'ün üzerinde makine ve ekipman grubuna %50 hibe desteği vermeye başladık. https://t.co/tBA1XLZptJ,RTErdogan,2021-12-31 19:10:00+00:00,30178,11006,315
22,Kırsal kalkınmayı desteklemek için 2.460 projeye 645 milyon TL hibe verdik. Böylelikle 12 bin 500 kişiye istihdam sağladık. https://t.co/7ZueTvLVzl,RTErdogan,2021-12-31 19:05:00+00:00,28295,10640,314
23,Canlı popülasyonunu korumak ve artırmak için denizlerimize ve iç sularımıza 55 milyon yavru balık bıraktık. https://t.co/YYn68ROg5M,RTErdogan,2021-12-31 19:00:00+00:00,30266,10762,394
24,"Küçükbaş hayvan sayısında 57,4 milyon ile Avrupa’daki 1'inciliğimiz devam etti. https://t.co/PlYDeFfsQP",RTErdogan,2021-12-31 18:55:00+00:00,33606,11454,881
25,"Büyükbaş hayvan sayısında 18,3 milyon ile Avrupa'da 1’inci sırada yer aldık. https://t.co/yOsNaesSQR",RTErdogan,2021-12-31 18:50:00+00:00,38867,12254,1254
26,Ekonomimize yıllık 10 milyar lira gelir sağlayacak Akıllı Küpe ve Elektronik Hayvan Takip Sistemi'ni hayata geçirdik. https://t.co/KlnajmEujk,RTErdogan,2021-12-31 18:45:00+00:00,27053,10184,346
27,"Tarımsal üretimi artırmak, ekilmeyen arazileri üretime kazandırmak için 400 projeyi hayata geçirdik. https://t.co/sG4JVBTvdE",RTErdogan,2021-12-31 18:40:00+00:00,28908,10637,349
28,"860 bin ton yaş çay alımı gerçekleştirdik. Böylece çiftçimize 3,4 milyar TL ödedik. https://t.co/H9jjQXh6Gv",RTErdogan,2021-12-31 18:35:00+00:00,29206,10476,369
29,"Çiftçilerimize 2,6 milyar TL kuraklık desteği verdik. https://t.co/Xjz0J2tWGa",RTErdogan,2021-12-31 18:30:01+00:00,28328,10528,308
30,Türkiye’nin tarımsal üretimini güçlendirmeye devam ettik. Tarım sektörümüze 24 milyar TL destek sağladık. https://t.co/Ra5RS2gNAA,RTErdogan,2021-12-31 18:25:00+00:00,29205,10810,345
31,2021-2025 yılları arasında ülkemizde yürütülecek olan yapay zekâ çalışmalarına yön verecek Ulusal Yapay Zekâ Stratejisi’ni yayımladık. https://t.co/8wPR0uyotG,RTErdogan,2021-12-31 18:20:00+00:00,28715,10966,327
32,"Ford Otosan’ın 58 milyon euro tutarındaki yatırımı ve TÜBİTAK’ın desteği ile Türk mühendislerimiz tarafından ilk yerli otomatik şanzıman geliştirdi, üretildi. https://t.co/ggWk1rPM9I",RTErdogan,2021-12-31 18:15:00+00:00,34944,12155,445
33,TÜBİTAK SAGE tarafından geliştirilen Türkiye’nin ilk millî Hava-Hava Füze Sistemi Gökdoğan ve Bozdoğan füzelerinin uçaktan atışlı test faaliyetlerini başarıyla tamamladık. https://t.co/gw1EHsWjN6,RTErdogan,2021-12-31 18:10:00+00:00,31180,11503,305
34,Türkiye'nin tek çinko izabe tesisini 102 milyon dolarlık yatırımla Siirt'te hizmete aldık. https://t.co/PBelFdUfKJ,RTErdogan,2021-12-31 18:05:00+00:00,29074,10670,298
35,Şişecam’ın 1 milyar TL yatırımla inşa ettiği Avrupa'nın en büyük düzcam üretim tesisinin açılışını gerçekleştirdik. https://t.co/r1NUUlNEs0,RTErdogan,2021-12-31 18:00:01+00:00,28854,10541,307
36,"Türkiye'nin yatırım, üretim, istihdam, ihracat ve büyüme odaklı ekonomi politikasına en güçlü desteklerden biri Antakya'dan geldi. Antakya Mobilyacılar Sitesi 150 milyon dolarlık ihracat gerçekleştirdi. https://t.co/34r8kav8b0",RTErdogan,2021-12-31 17:55:00+00:00,28130,10468,309
37,"Türk mühendisleri tarafından geliştirilen, dünyanın ilk seri üretim 4. seviye sürücüsüz elektrikli otobüsünün tanıtımını gerçekleştirdik. İnşallah Atac Electric'i dünyanın pek çok yerinde yollarda göreceğiz. https://t.co/98EOcilIAY",RTErdogan,2021-12-31 17:50:00+00:00,29146,10965,327
38,"Fatih, Yavuz ve Kanuni’nin ardından 4’üncü sondaj gemimizi de filomuza dâhil ettik. https://t.co/2ReCADZCKE",RTErdogan,2021-12-31 17:45:00+00:00,33282,11690,424
39,Amasra-1 kuyusunda 135 milyar metreküp doğal gaz keşfettik. Böylece keşfettiğimiz toplam rezervi 540 milyar metreküpe ulaştırdık. https://t.co/Cm0g4NuMrO,RTErdogan,2021-12-31 17:40:00+00:00,36268,12107,760
40,Kanuni Sondaj Gemimizi ilk görevi için Karadeniz’e uğurladık. https://t.co/t2bokuE7N2,RTErdogan,2021-12-31 17:35:00+00:00,29617,10752,339
41,Rüzgâr enerjisi üretiminde 188.834 MW ile tüm zamanların rekorunu kırdık. https://t.co/9r5emoa7bK,RTErdogan,2021-12-31 17:30:00+00:00,28972,10671,360
42,Karadeniz’deki Sakarya Gaz Sahası’nda ilk kuyu akış testini başarıyla gerçekleştirdik. https://t.co/oOJIcvCJYs,RTErdogan,2021-12-31 17:25:00+00:00,30273,10840,352
43,Enerji tedarik güvenliği yönünde attığımız stratejik bir adım olan Akkuyu Nükleer Güç Santrali'nin 3’üncü reaktörünün de temelini attık. https://t.co/zyd2wkRsVo,RTErdogan,2021-12-31 17:20:00+00:00,29631,10930,293
44,Türkiye’nin ilk yüzer sıvı doğal gaz depolama ve gazlaştırma gemisi Ertuğrul Gazi’yi devreye aldık. https://t.co/8PeRtndXdy,RTErdogan,2021-12-31 17:15:00+00:00,28109,10439,298
45,Maden ihracatımızı 6 milyar dolar seviyesine çıkararak tüm zamanların rekorunu kırdık. https://t.co/uKkD0ih45m,RTErdogan,2021-12-31 17:10:00+00:00,26831,10081,296
46,İlk imza atan ülkelerden biri olduğumuz Paris İklim Anlaşması’nı Meclisimizin onayına sunduk ve yürürlüğe koyduk. https://t.co/SqzHu8M4Wv,RTErdogan,2021-12-31 17:05:00+00:00,24875,9448,266
47,Türkiye’nin büyüklüğünü ve artan gücünü yansıtan bir başyapıt olan New York’taki yeni Türkevi’nin açılışını gerçekleştirdik. https://t.co/7pWEoL5JPk,RTErdogan,2021-12-31 17:00:01+00:00,27308,10225,323
