,Text,User,Date,Favs,Retweets,Replies
0,"नव वर्ष, 2022 का पहला दिन देश के अन्नदाताओं को समर्पित रहेगा। दोपहर 12:30 बजे वीडियो कॉन्फ्रेंसिंग के जरिए पीएम-किसान की 10वीं किस्त जारी करने का सौभाग्य मिलेगा। इसके तहत 20 हजार करोड़ रु की राशि के ट्रांसफर से 10 करोड़ से अधिक किसान परिवारों को लाभ होगा। 
https://t.co/g8IYegLJvI",narendramodi,2021-12-31 14:07:47+00:00,34385,6874,1739
1,"देश में दशकों तक बड़ी योजनाओं की बात होने पर यही कहा जाता था कि ये योजना इतने सालों से अटकी है, तो वो प्रोजेक्ट इतने दशकों से अधूरा है। उत्तराखंड में आज जिस लखवाड़ प्रोजेक्ट का काम शुरू हुआ है, उसका भी यही इतिहास है। https://t.co/2qQBdiynEt",narendramodi,2021-12-30 13:40:18+00:00,17645,4444,1023
2,"देवभूमि उत्तराखंड के लोगों की सेवा करना, देवी-देवताओं की सेवा करने के समान है और इसी भावना से हमारी सरकार काम कर रही है। https://t.co/bncyU575dV",narendramodi,2021-12-30 13:40:12+00:00,17216,4093,541
3,"उत्तराखंड से कितनी ही नदियां निकलती हैं, लेकिन आजादी के बाद से यहां के लोगों ने दो धाराएं और देखी हैं। पहली है- पहाड़ को विकास से वंचित रखने की धारा और दूसरी, जिसके साथ हमारी सरकार चलती है- पहाड़ के विकास के लिए दिन-रात एक कर देने की धारा। https://t.co/d5n9S9lMn0",narendramodi,2021-12-30 13:40:02+00:00,10926,2978,295
4,"इस दशक को उत्तराखंड का दशक बनाने के लिए तेज गति से विकास कार्य किए जाने की जरूरत है। आज जिन परियोजनाओं का उद्घाटन और शिलान्यास हुआ है, वो बताती हैं कि यह दशक उत्तराखंड का ही होने वाला है। https://t.co/isKQf3reoS",narendramodi,2021-12-30 13:39:17+00:00,10344,2903,345
5,"इस तरह के संवाद से लोकतंत्र की ताकत को और मजबूती मिलती है। युवा जितने जागरूक होंगे, देश के विकास का पहिया उतनी ही तेज गति से आगे बढ़ेगा। #NaMoApp https://t.co/bmUn9CAD7L",narendramodi,2021-12-30 11:57:25+00:00,10346,2415,364
6,Speaking at a public meeting in Haldwani where development works are being inaugurated. https://t.co/Ty7EqSkqPL,narendramodi,2021-12-30 08:54:57+00:00,19181,4995,839
7,"देवभूमि उत्तराखंड कल उन्नति की नई ऊंचाई छूने की ओर अग्रसर होगा। हल्द्वानी में मुझे 17,500 करोड़ रुपये से अधिक की 23 परियोजनाओं के शिलान्यास और उद्घाटन का सुअवसर प्राप्त होगा। इनमें स्वास्थ्य, सड़क और सिंचाई से जुड़े इंफ्रास्ट्रक्चर प्रोजेक्ट शामिल हैं।
https://t.co/VADsa7mAyF",narendramodi,2021-12-29 16:10:32+00:00,24722,4928,1075
8,"In Kanpur, had a satisfying interaction with beneficiaries of various Government schemes. Have a look… https://t.co/PM8T5GbG7y",narendramodi,2021-12-28 17:35:56+00:00,29567,6597,1244
9,"यूपी में आज हो रहे विकास को देख कर कुछ लोग कहते हैं कि ये तो हमने किया था, वो तो हमने किया था। लेकिन यूपी के लोग सब देख रहे हैं, समझ रहे हैं। वे यूपी का विकास करने वालों के साथ हैं। https://t.co/vr9YEhq3eD",narendramodi,2021-12-28 15:31:09+00:00,14810,3968,896
